left_model_id,left_model,right_model_id,right_model,mean_delta_cer_left_minus_right,mean_delta_ci95_low,mean_delta_ci95_high,left_better_count,right_better_count,tie_count,left_better_rate_excluding_ties
aws_transcribe,AWS Transcribe,whisper_base,Whisper base,-0.0561868966013702,-0.059267302316330615,-0.05334507048670415,2195,467,1260,0.8245679939894816
aws_transcribe,AWS Transcribe,whisper_medium,Whisper medium,0.010912220178510752,0.00919792407118543,0.012621630305277642,579,1066,2277,0.3519756838905775
aws_transcribe,AWS Transcribe,whisper_large,Whisper large,0.015030974950431349,0.01323666685670431,0.016753308850270144,414,1158,2350,0.2633587786259542
whisper_base,Whisper base,aws_transcribe,AWS Transcribe,0.0561868966013702,0.05334507048670415,0.059267302316330615,467,2195,1260,0.17543200601051842
whisper_base,Whisper base,whisper_medium,Whisper medium,0.06709911677988095,0.06428961968753083,0.06994273665699335,134,2335,1453,0.05427298501417578
whisper_base,Whisper base,whisper_large,Whisper large,0.07121787155180155,0.06850342635294968,0.074186331340802,107,2436,1379,0.042076287848997244
whisper_medium,Whisper medium,aws_transcribe,AWS Transcribe,-0.010912220178510752,-0.012621630305277642,-0.009197924071185432,1066,579,2277,0.6480243161094225
whisper_medium,Whisper medium,whisper_base,Whisper base,-0.06709911677988095,-0.06994273665699337,-0.06428961968753084,2335,134,1453,0.9457270149858242
whisper_medium,Whisper medium,whisper_large,Whisper large,0.004118754771920598,0.002946692497086606,0.0053384578812540875,319,594,3009,0.3493975903614458
whisper_large,Whisper large,aws_transcribe,AWS Transcribe,-0.015030974950431349,-0.016753308850270144,-0.01323666685670431,1158,414,2350,0.7366412213740458
whisper_large,Whisper large,whisper_base,Whisper base,-0.07121787155180155,-0.074186331340802,-0.06850342635294968,2436,107,1379,0.9579237121510028
whisper_large,Whisper large,whisper_medium,Whisper medium,-0.004118754771920598,-0.0053384578812540875,-0.0029466924970866066,594,319,3009,0.6506024096385542
